date	version	count
2017-08-27	1.30.0 (WMF)	31
2017-08-27	1.29.0 (WMF)	9
2017-08-27	1.28.0 (RC)	2
2017-08-27	1.28.0 (ALPHA)	1
2017-09-03	1.28.2	7341
2017-09-03	1.29.0	4574
2017-09-03	1.28.1	2456
2017-09-03	1.29.1	1873
2017-09-03	1.28.0	1804
2017-09-03	1.30.0 (ALPHA)	340
2017-09-03	1.29.0 (ALPHA)	84
2017-09-03	1.29.0 (RC)	46
2017-09-03	1.30.0 (WMF)	31
2017-09-03	1.29.0 (WMF)	9
2017-09-03	1.28.0 (RC)	2
2017-09-03	1.28.0 (ALPHA)	1
2017-09-10	1.28.2	7394
2017-09-10	1.29.0	4592
2017-09-10	1.29.1	2632
2017-09-10	1.28.1	2458
2017-09-10	1.28.0	1826
2017-09-10	1.30.0 (ALPHA)	358
2017-09-10	1.29.0 (ALPHA)	84
2017-09-10	1.29.0 (RC)	46
2017-09-10	1.30.0 (WMF)	32
2017-09-10	1.29.0 (WMF)	10
2017-09-10	1.28.0 (RC)	2
2017-09-10	1.28.0 (ALPHA)	1
2017-09-17	1.28.2	7457
2017-09-17	1.29.0	4621
2017-09-17	1.29.1	3427
2017-09-17	1.28.1	2460
2017-09-17	1.28.0	1842
2017-09-17	1.30.0 (ALPHA)	365
2017-09-17	1.29.0 (ALPHA)	85
2017-09-17	1.29.0 (RC)	46
2017-09-17	1.30.0 (WMF)	38
2017-09-17	1.29.0 (WMF)	10
2017-09-17	1.31.0 (ALPHA)	9
2017-09-17	1.28.0 (RC)	2
2017-09-17	1.28.0 (ALPHA)	1
2017-09-24	1.28.2	7535
2017-09-24	1.29.0	4624
2017-09-24	1.29.1	4206
2017-09-24	1.28.1	2462
2017-09-24	1.28.0	1857
2017-09-24	1.30.0 (ALPHA)	357
2017-09-24	1.29.0 (ALPHA)	85
2017-09-24	1.29.0 (RC)	46
2017-09-24	1.31.0 (ALPHA)	38
2017-09-24	1.30.0 (WMF)	37
2017-09-24	1.29.0 (WMF)	10
2017-09-24	1.28.0 (RC)	2
2017-09-24	1.31.0 (WMF)	2
2017-09-24	1.30.0 (RC)	1
2017-09-24	1.28.0 (ALPHA)	1
2017-10-01	1.28.2	7598
2017-10-01	1.29.1	4942
2017-10-01	1.29.0	4663
2017-10-01	1.28.1	2465
2017-10-01	1.28.0	1869
2017-10-01	1.30.0 (ALPHA)	354
2017-10-01	1.29.0 (ALPHA)	86
2017-10-01	1.31.0 (ALPHA)	53
2017-10-01	1.29.0 (RC)	46
2017-10-01	1.30.0 (WMF)	37
2017-10-01	1.29.0 (WMF)	10
