date	5.5	5.6	7.0	7.1	7.2	7.3	7.4	8.0	8.1	8.2	other	Other
2021-05-23	1	5	2	1	5	6	2				0	
2021-05-30	1	8	0	1	4	5	4				0	
2021-06-06	0	10	0	1	4	7	3				1	
2021-06-13	0	10	0	1	5	6	4				1	
2021-06-20	1	7	0	1	3	4	4				1	
2021-06-27	1	8	0	1	2	3	3				1	
2021-07-04	1	4	0	1	4	1	5				0	
2021-07-11	1	5	0	1	3	1	6				0	
2021-07-18	0	4	2	0	3	3	6				1	
2021-07-25	0	4	2	0	3	3	6				1	
2021-08-01	0	2	2	1	1	2	5				1	
2021-08-08	0	3	5	2	2	3	2				1	
2021-08-15	0	3	4	2	5	1	4				0	
2021-08-22	0	3	5	2	6	2	5				0	
2021-08-29	0	2	5	2	6	2	4				1	
2021-09-05	0	3	2	0	5	1	5				3	
2021-09-12	0	1	2	0	1	1	3				3	
2021-09-19	0	1	1	0	2	0	3				4	
2021-09-26	0	3	1	0	1	0	2				3	
2021-10-03	0	2	1	1	3	1	1				1	
2021-10-10	0	3	0	1	3	1	2				1	
2021-10-17	0	6	0	1	2	1	2				0	
2021-10-24	0	7	0	1	2	4	2				0	
2021-10-31	0	7	0	0	1	4	3	0	0	0	0	
2021-11-07	0	8	1	1	2	5	2	0	0	0	0	
2021-11-14	0	4	1	1	2	5	2	0	0	0	0	
2021-11-21	0	1	1	1	3	2	4	1	0	0	0	
2021-11-28	0	2	1	4	2	1	3	1	0	0	0	
2021-12-05	0	2	1	4	1	0	6	1	0	0	0	
2021-12-12	0	2	0	4	1	0	9	2	0	0	0	
2021-12-19	0	5	0	4	0	0	7	1	0	0	0	
2021-12-26	0	5	0	1	0	0	7	1	0	0	0	
2022-01-02	0	5	0	0	0	0	4	1	0	0	0	
